2025-05-22 16:40:57 - INFO - --- Initializing Supervised Training for: CTNet ---
2025-05-22 16:40:57 - INFO - Using device: cuda
2025-05-22 16:40:57 - INFO - Loading training dataset...
2025-05-22 16:40:58 - INFO - Loading validation dataset...
2025-05-22 16:40:58 - INFO - Train segments: 355781, Validation segments: 29169
2025-05-22 16:40:58 - INFO - Model: CTNet initialized. Parameters: 0.02M
2025-05-22 16:40:58 - INFO - Using weighted CrossEntropyLoss with weights: [1.0, 4.0]
2025-05-22 16:40:58 - INFO - No checkpoint directory found or no checkpoints available. Starting training from epoch 0.
2025-05-22 16:40:58 - INFO - Starting training loop from epoch 0...
2025-05-22 19:20:03 - INFO - Epoch 38: Train Loss: 0.3990, Val Loss: 0.6251, Val Acc: 0.7555, Val F1: 0.7308, Val Recall: 0.6735, LR: 1.00e-05, Time: 294.85s
2025-05-22 19:23:38 - INFO - Epoch 39: Train Loss: 0.3989, Val Loss: 0.6476, Val Acc: 0.7551, Val F1: 0.7218, Val Recall: 0.6448, LR: 1.00e-05, Time: 215.60s
2025-05-22 19:26:49 - INFO - Epoch 40: Train Loss: 0.3972, Val Loss: 0.6544, Val Acc: 0.7564, Val F1: 0.7265, Val Recall: 0.6567, LR: 1.00e-05, Time: 190.83s
2025-05-22 19:30:01 - INFO - Epoch 41: Train Loss: 0.3971, Val Loss: 0.6433, Val Acc: 0.7540, Val F1: 0.7215, Val Recall: 0.6469, LR: 1.00e-05, Time: 192.41s
2025-05-22 19:33:11 - INFO - Epoch 42: Train Loss: 0.3967, Val Loss: 0.6470, Val Acc: 0.7502, Val F1: 0.7188, Val Recall: 0.6479, LR: 1.00e-06, Time: 189.86s
2025-05-22 19:36:28 - INFO - Epoch 43: Train Loss: 0.3967, Val Loss: 0.6403, Val Acc: 0.7538, Val F1: 0.7241, Val Recall: 0.6556, LR: 1.00e-06, Time: 196.42s
2025-05-22 19:39:52 - INFO - Epoch 44: Train Loss: 0.3971, Val Loss: 0.6581, Val Acc: 0.7522, Val F1: 0.7176, Val Recall: 0.6391, LR: 1.00e-06, Time: 204.17s
2025-05-22 19:43:10 - INFO - Epoch 45: Train Loss: 0.3969, Val Loss: 0.6473, Val Acc: 0.7555, Val F1: 0.7265, Val Recall: 0.6592, LR: 1.00e-06, Time: 198.46s
2025-05-22 19:46:28 - INFO - Epoch 46: Train Loss: 0.3971, Val Loss: 0.6716, Val Acc: 0.7533, Val F1: 0.7157, Val Recall: 0.6304, LR: 1.00e-06, Time: 197.37s
2025-05-22 19:50:15 - INFO - Epoch 47: Train Loss: 0.3967, Val Loss: 0.6633, Val Acc: 0.7518, Val F1: 0.7161, Val Recall: 0.6355, LR: 1.00e-06, Time: 227.22s
2025-05-22 19:54:16 - INFO - Epoch 48: Train Loss: 0.3962, Val Loss: 0.6632, Val Acc: 0.7562, Val F1: 0.7213, Val Recall: 0.6405, LR: 1.00e-06, Time: 240.94s
2025-05-22 19:58:27 - INFO - Epoch 49: Train Loss: 0.3963, Val Loss: 0.6527, Val Acc: 0.7544, Val F1: 0.7211, Val Recall: 0.6443, LR: 1.00e-06, Time: 250.90s
2025-05-22 19:58:27 - INFO - Early stopping decision from monitor for epoch 49.
2025-05-22 19:58:27 - INFO - --- Training finished for CTNet. Total time: 197m 29s ---
2025-05-22 19:58:27 - INFO - Best model for CTNet saved at: models/saved_supervised/CTNet_best.pt (Achieved at Epoch: 19, val_f1_score: 0.7499)
